comedian,full_name,country,bio,birth_year
Robert Schimmel,Robert George Schimmel,USA,"Robert George ""Bob"" Schimmel (January 16, 1950 – September 3, 2010) was an American stand-up comedian whose material was often X-rated and controversial. He was perhaps best known for his comedy albums and his appearances on HBO and The Howard Stern Show. Schimmel is number 76 on the 2004 program Comedy Central Presents: 100 Greatest Stand-Ups Of All Time. Schimmel was born in the Bronx, New York City, the son of Betty and Otto Schimmel, Jewish survivors of the Holocaust. He was voted class clown during high school and was in the United States Air Force for one year during the Vietnam War. A resident of Scottsdale, Arizona, his career began when, at the urging of his sister, he performed at a comedy club's open-mic night. A club owner in Los Angeles offered to make him a regular, but when Schimmel moved there he found that the club had burned down. Undaunted, and with some help from Rodney Dangerfield, who invited him to perform on his HBO Young Comedians Special, Schimmel began making a name for himself. He wrote material for In Living Color and for comedians such as Yakov Smirnoff and Jimmie Walker. Schimmel married his first wife, Vicki, in 1977, and they had four children together. Their son Derek died from cancer at the age of 11. Schimmel later divorced and remarried, having two sons with his second wife, Melissa. Schimmel cited Lenny Bruce as his all-time comedy hero. Schimmel incorporated many aspects of his personal life into his act, even his cancer and the death of his son. In one signature bit, Schimmel joked about making obscene suggestions to a lady from the Make-a-Wish Foundation. His act was described as raunchy and sexually explicit, which he claimed as the reason he never appeared on network television. He said his inappropriate comments on Late Night with Conan O'Brien and The Hollywood Squares got him disinvited, though he later returned to O'Brien's program. However, his edgy style made him a hit on The Howard Stern Show.",1950
Robin Harris,Robin Hughes Harris,USA,"Robin Hughes Harris (August 30, 1953 – March 18, 1990) was an American comedian and actor, known for his recurring comic sketch about Bébé's Kids. Robin Harris was born in Chicago, Illinois. His father, Earl, was a welder, and his mother, Mattie, was a factory seamstress. In 1961, the family moved to Los Angeles where he attended Manual Arts High School. A track star, Harris received a scholarship and attended Ottawa University in Kansas. During this time, he began to hone his craft of comedy. He worked for Hughes Aircraft, a rental car company, and Security Pacific Bank to pay his bills. In 1980, he debuted at Los Angeles’ Comedy Store. During the mid 80's Robin worked as the master of ceremonies at the Comedy Act Theater. His “old school” brand of humor began to gain him a mainstream following. Harris made a promising feature debut playing a no-nonsense bartender in the feature film I'm Gonna Git You Sucka (1988). Harris performed in director Spike Lee’s Do the Right Thing (1989). As ""Sweet Dick Willie,"" Harris served as part of the neighborhood ""Greek chorus"" that commented on the events of an increasingly tense day. Harris was Pop, the no-nonsense, quick-witted father of Kid in House Party (1990). He followed up later that year with a small turn as a jazz club MC in Mo' Better Blues. He also had a role in Eddie Murphy's Harlem Nights (1989). Fellow comedian and actor Raymond ""The RayVolution"" Baxter credits Harris with him becoming a stand up, ""I saw Mr. Harris at home in Chicago at a club my aunt worked for and he was nice enough to see me after a set and joke around with me. He said I was funny enough to get on the circuit at 11! So that day I went to work on my material..."" In Harris' ""Bébé's Kids"" routines, Harris' girlfriend Jamika would insist that he take her son and friend Bébé's three children with them on a date, as she continually agreed to babysit them. The children would regularly make a fool out of and/or annoy Harris. ""We Bébé's kids,"" they would proclaim, ""we don't die...we multiply."" The Hudlin Brothers had intended to make a feature film based upon the ""Bébé's Kids"" sketches, but Harris died while the film was in pre-production. Bébé's Kids instead became an animated feature—the first ever to feature an all-black main cast—directed by Bruce W. Smith and featuring the voices of Faizon Love (as Harris), Vanessa Bell Calloway, Marques Houston, Nell Carter, and Tone Lōc.",1953
Robin Williams,Robin McLaurin Williams,USA,"Robin McLaurin Williams (born July 21, 1951) is an American actor and comedian. Rising to fame with his role as the alien Mork in the TV series Mork & Mindy, and later stand-up comedy work, Williams has performed in many feature films since 1980. He won the Academy Award for Best Supporting Actor for his performance in the 1997 film Good Will Hunting. He has also won two Emmy Awards, four Golden Globes, two Screen Actors Guild Awards and five Grammy Awards. Williams has done a number of stand-up comedy tours since the early 1970s. Some of his most notable tours include An Evening With Robin Williams (1982), Robin Williams: At The Met (1986) and Robin Williams LIVE on Broadway (2002). The latter broke many long-held records for a comedy show. In some cases, tickets were sold out within thirty minutes of going on sale. After a six year break, in August 2008 Williams announced a brand new 26-city tour titled ""Weapons of Self Destruction"". He was quoted as saying that this was his last chance to make cracks at the expense of the current Bush Administration, but by the time the show was staged only a few minutes covered that subject. The tour started at the end of September 2009, finishing in New York on December 3, and was the subject of an HBO special on December 8, 2009.",1951
Rodney Carrington,Rodney Scott Carrington,USA,"Rodney Scott Carrington (born October 19, 1968) is an American stand-up comedian, actor, and country music artist. He has released six major-label studio albums and a greatest-hits package, on Mercury Records and Capitol Records. His comedy act typically combines stand-up comedy and original songs. Carrington has also starred in the sitcom Rodney and in the 2008 film Beer for My Horses. Rodney Carrington lived in Longview,Texas, from 1988 to 1990. Carrington worked as a comedian in local venues, gaining exposure through radio programs such as The Bob and Tom Show. Carrington's first album, Hangin' with Rodney, was released in 1998 via Mercury Records Nashville. This album, composed of both standup comedy and original songs, contained the non-charting single ""Letter to My Penis"" and peaked at No. 73 on Top Country Albums. He moved to Capitol Nashville for his next album, 2000's Morning Wood. It was his first Top 20 album, and it brought him to the singles charts for the first time with ""More of a Man"", which reached No. 71 on Hot Country Singles & Tracks (now Hot Country Songs). After it came the live album Live: C'mon Laugh You Bastards, which did not chart. Carrington's third release for Capitol was 2003's Nut Sack. It included the single ""Don't Look Now"" which reached No. 60. A Greatest Hits package followed in 2004. This album comprised selections from his Capitol recordings on two discs: stand-up routines on one disc, and songs on the other. It also included his first non-comedy song, ""Things We Didn't Know."" Also in 2004, Carrington made his acting debut in Rodney, a sitcom based largely on his own life which aired on ABC for two seasons. He released King of the Mountains in 2007, and in 2008 he appeared in the film Beer for My Horses. King of the Mountains contains his second serious song, ""Angel Friend"", a tribute to his best friend Barry Martin, who died suddenly in 2003. El Niño Loco, his sixth Capitol album, was released in 2009. The latter album is composed entirely of songs, a first for Carrington. And it also contains his 3rd non-comedy song ""Funny Man"". Later in 2009, Carrington released his first Christmas album, Make It Christmas. The first single from the album, ""Camouflage and Christmas Lights"" became his first Top 40 country hit in December 2009.",1968
Rodney Dangerfield,Jacob Cohen,USA,"Rodney Dangerfield (born Jacob Cohen, November 22, 1921 – October 5, 2004) was an American comedian, and actor, known for the catchphrase ""I don't get no respect!,"" and his monologues on that theme. He is also remembered for his 1980s film roles, especially in Easy Money, Caddyshack, and Back To School.",1921
Ron White,Ron White,USA,"Ron White (born December 18, 1956) is an American stand up comedian and actor, best known as a charter member of the Blue Collar Comedy Tour. He is the author of the book I Had the Right to Remain Silent But I Didn't Have the Ability (Dutton 2006, ISBN 978-0-525-94961-9), which appeared on the New York Times best seller list. Ron Dee White was born in Fritch, Texas on December 18, 1956 to Charles Don White and Barbara Joan Craig. White served in the United States Navy. According to his own account, White joined the service at age 17 and served on the auxiliary rescue and salvage ship USS Conserver near the end of the Vietnam War. He is an avid fisherman (and has always loved fishing as a hobby) but from a young age his dream was to become a comedian. He lived in Mexico for a brief period and bought a pottery factory there before returning to America to pursue comedy. He included stories from his youth in his book I Had the Right to Remain Silent But I Didn't Have the Ability. During January 2000 through March 2003, White toured with Jeff Foxworthy, Bill Engvall, and Larry the Cable Guy as part of the Blue Collar Comedy Tour – a show that sold out across the United States in over 90 cities and grossed over $15 million. He made seven guest appearances on Blue Collar TV . In 2005, The WB Television Network aired the pilot for The Ron White Show, a variety show that combined a number of celebrity cameos, cartoons, and sketches. He taped several episodes of The Gong Show with Dave Attell as one of the celebrity judges. White has appeared in the TV shows Kath & Kim, Reno 911!, 12 Miles of Bad Road, the films Sex and the City 2 and Horrible Bosses, and a cameo in a Rascal Flatts music video, ""Why Wait"". White is known for drinking Scotch as part of his act. He stated during his You Can't Fix Stupid show, ""Somebody asked what I was drinking. If the company that made the stuff I was drinking was paying me, I'd have it in their bottle and not mine. But it's the kind of scotch that people drink that are going to die penniless. It's good though!"" In 2009 Comedy Central released Ron's stand up DVD Behavioral Problems. In 2010, Ron White and producer Michael Blakey formed Organica Music Group (OMG), a label that promotes both emerging and established musicians and comedians. OMG indicated that it would release all of White's future DVDs and CDs.",1956
Roseanne Barr,Roseanne Cherrie Barr,USA,"Roseanne Cherrie Barr (born November 3, 1952) is an American actress, comedienne, writer, television producer, director and 2012 presidential nominee of the California-based Peace and Freedom Party. Barr began her career in stand-up comedy at clubs before gaining fame for her role in the sitcom Roseanne. The show was a hit and lasted nine seasons, from 1988 to 1997. She won both an Emmy Award and a Golden Globe Award for Best Actress for her work on the show. Barr had crafted a ""fierce working-class domestic goddess"" persona in the eight years preceding her sitcom and wanted to do a realistic show about a strong mother who was not a victim of patriarchal consumerism. The granddaughter of immigrants from Europe and Russia, Barr was the oldest of four children in a working-class Jewish Salt Lake City family; she was also active in the LDS Church. In 1974 she married Bill Pentland, with whom she had three children, before divorcing in 1990 and marrying comedian Tom Arnold for four years. Controversy arose when she sang ""The Star-Spangled Banner"" off-key at a 1990 nationally aired baseball game, followed by grabbing her crotch and spitting. After her sitcom ended, she launched her own talk show, The Roseanne Show, which aired from 1998 to 2000. In 2005, she returned to stand-up comedy with a world tour. In 2011, she starred in an unscripted TV show, Roseanne's Nuts that lasted from July to September of that year, about her life on a Hawaiian farm. In early 2012, Barr announced her candidacy for the Presidential nomination of the Green Party. Barr lost the nomination to Jill Stein. She then sought the presidential nomination of the Peace and Freedom Party, which she won on August 4, 2012.",1952
Roy Wood Jr.,"Roy Wood, Jr.",USA,"Roy Wood, Jr. (born December 11, 1978) is a stand-up comedian from Birmingham, Alabama. He is also known for his prank calls, as well as his work on talk radio. Hailed for his colorblind brand of comedy, Roy has opened for comedians ranging from D. L. Hughley and Mo'Nique to Ron White and Bill Engvall In 2008, Roy had been featured on the new season of HBO's Def Comedy Jam, E's Chelsea Lately, and The Funny Spot on TV One. Prior to these accomplishments, Roy appeared on Late Show with David Letterman, BBC's The World Stand's Up, The Late Late Show with Craig Ferguson, Comics Unleashed w/ Byron Allen, Comedy Central's Premium Blend and Bob and Tom Radio Comedy Tour Special #1, It's Showtime at the Apollo, Live in Hollywood w/ KiKi Shepard, CBS's 2003 remake of Star Search and BET's Comic View. In 1999, Wood was a morning news reporter for Hot 105.7, a radio station in Tallahassee, Florida. But the Florida A&M University student began his comedy career instead, because ""...the comedian used to leave the station early, so I'd stay and crack jokes during the rest of the show."" Four months later, Wood missed his midterm tests to open for Tommy Davidson, a decision which cost him a semester of school, but opened some professional doors. Upon receiving a Bachelor's of Science in broadcast journalism in 2001, Wood returned to his hometown and became the head writer/producer for the Buckwilde Morning Show (WBHJ 95.7 JAMZ) in Birmingham, a position he held until 2006. In addition to furthering his comedy career, Roy is a freelance writer for a variety of morning shows and his prank calls can now be heard on more than 40 different radio shows nationally including The Tom Joyner Morning Show and Jamie Foxx's station on Foxxhole Radio on Sirius Satellite Radio. XM Radio has also put Roy's comedy in their regular play rotation. Roy put out his first of 3 prank call CD's in 2003, titled My Momma Made Me Wear This. The second collection, Confessions of a Bench Warmer, came out in 2005. His third cd ""I'll Slap You To Sleep"" is now available on Amazon.com as well as his website. Roy's pranks have been featured on numerous hip-hop mixtapes including projects from platinum selling artists, Chamillionaire (Mixtape Messiah 2, 3, 4, 5 & 6 and Major Pain 1.5), Cam'ron (Public Enemy #1) and the late Pimp-C. He has been cast as Roy on the TBS sitcom Sullivan & Son.",1978
Russell Brand,Russell Edward Brand,England,"Russell Edward Brand (born 4 June 1975) is an English comedian, actor, and author. In 2004, Brand achieved mainstream fame in the UK as the host of Big Brother's Big Mouth, a Big Brother spin-off. In 2007, he had his first major film role in St Trinian's. He became known in the United States in 2008, after his major role in Forgetting Sarah Marshall; the film led to a starring role in Get Him to the Greek in 2010. He also worked as a voice actor for animated films Despicable Me in 2010 and Hop in 2011. He starred in the 2011 remake of the 1981 Dudley Moore film Arthur. Brand is noted in the British media for his eccentricity and for controversies such as his dismissal from MTV after he dressed as Osama bin Laden, his behaviour as presenter of various award ceremonies and his former drug use. In 2008, he resigned from the BBC following prank calls he made to actor Andrew Sachs on The Russell Brand Show, which led to major changes to the BBC's policy. His drug use, alcoholism and promiscuity have influenced his comedic material and public image. He is also widely known for his short marriage to Katy Perry which ended in 2012. Brand performed stand-up at the Hackney Empire New Act of the Year final in 2000. Although he finished fourth, his performance attracted the attention of Gagged and Bound Comedy Ltd agent Nigel Klarfeld. That year, he also made his Edinburgh debut as one-third of the stand-up show Pablo Diablo's Cryptic Triptych, alongside ventriloquist Mark Felgate and Anglo-Iranian comic Shappi Khorsandi. In 2004, he took his first one-man show, the confessional Better Now to the Edinburgh Festival, giving an honest account of his heroin addiction. He returned the following year with Eroticised Humour. He launched his first nationwide tour, Shame, in 2006. Brand drew on embarrassing incidents in his own life and the tabloid press's treatment of him since he became famous. The show was released on DVD as Russell Brand: Live. Brand appeared in a sketch and performed stand-up at the 2006 Secret Policeman's Ball. In March 2007, he co-hosted an evening of the Teenage Cancer Trust gigs with Noel Fielding. In December 2007, Brand performed for HM Queen Elizabeth II and HRH Prince Philip as an act in the 2007 Royal Variety Performance. His second nationwide tour, in 2007, was called Russell Brand: Only Joking and released on DVD as Russell Brand: Doin' Life. Brand began performing in the US, and recorded a special for Comedy Central titled Russell Brand in New York, which aired in March 2009. Brand began touring the UK, America and Australia from January to April 2009 on a tour called Russell Brand: Scandalous. In October, a further four dates that were performed in November were added to raise money for Focus 12, the drug charity for which Brand is a patron. Russell Brand: Scandalous was released on DVD on 9 November 2009.",1975
Russell Peters,Russell Dominic Peters,Canada,"Russell Dominic Peters (born September 29, 1970 is a Canadian comedian and actor of Indian origin. He began performing in Toronto in 1989 and won a Gemini Award in 2008. Russell Peters was born in Toronto, Ontario to Eric and Maureen Peters, and from the age of four, he was raised in nearby Brampton, Ontario. He has an older brother, Clayton, who currently serves as his manager. His family is of Anglo-Indian ancestry and is Catholic. His late father was born in Bombay, India, and worked as a federal meat inspector; he is regularly mentioned and featured in his comedy work. Peters attended Chinguacousy Secondary School for grades 9–10, and North Peel Secondary School in Bramalea, for grades 11–12. In school, he was regularly bullied because of his ethnicity, and eventually began boxing, which enabled him to counteract the bullying. Peters also became a hip hop ""junkie"" in his youth, and by the 1990s, he was a well-connected DJ in the Toronto scene. Peters began performing in Toronto in 1989. His popularity extends to several countries, as he has since also performed in the United Kingdom, United States, Australia, New Zealand, Ireland, Afghanistan, Sweden, South Africa, India, the Caribbean, Philippines, Vietnam, mainland China, Hong Kong, Sri Lanka, Singapore, United Arab Emirates, Bahrain, Jordan, Norway, Lebanon, Oman, and Malaysia, among other places. In 1992, Peters met comedian George Carlin, one of his biggest influences, who advised him to get on stage whenever and wherever possible. He said he ""took that advice to heart, and I think that's the reason I am where I am now."" In 2007, 15 years later, he hosted one of Carlin's last shows before his death the following year. Peters attributes a performance he did on the Canadian TV comedy show Comedy Now!, in 2004, which was uploaded onto YouTube and became viral, as the turning point in his career. While the initial video upload featured his performance in its 45 minute entirety, subsequent videos uploaded by other YouTube users were snippets of that performance, chopped into each of the cultural groups he targeted. According to Peters, those snippets made their way to those specified cultural groups, and were well received by them. Russell Peters' stand-up performances are mostly made up of observational comedy where he uses humour to highlight racial, ethnic, class and cultural stereotypes. He often refers to his own life experiences growing up in an Indian family and impersonates various English accents of different groups in his act to poke fun at each group. As Peters told an audience in San Francisco, ""I don't make the stereotypes, I just see them."" Peters uses his minority status to allow him to poke fun at different races in his performance, but according to an interview done for The National, he does not intend to put down or offend different races and cultures, but instead tries to raise them up through humour. Peters is widely known for his punchlines, ""Somebody gonna get a hurt real bad"", in which he tells a joke about his childhood with a traditional Indian father who would use corporal punishment, and ""Be a man!"", while imitating a Chinese man trying to get him to pay more for an item at a shop.",1970
Sam Kinison,Samuel Burl Kinison,USA,"Samuel Burl ""Sam"" Kinison (December 8, 1953 – April 10, 1992) was an American stand-up comedian and actor. Kinison was known for his intense, harsh and politically incorrect genre humor. A former Pentecostal preacher, he performed stand-up routines that were most often characterized by an intense style, similar to enthusiastic preachers, punctuated by his trademark scream. Born in Yakima, Washington Kinison was the son of Marie and Samuel Kinison, Pentecostal preachers. The family moved to East Peoria, Illinois when Kinison was three months old. His father pastored several churches around the country, receiving little income. Sam later attended East Peoria Community High School in East Peoria, Illinois. He also lived in Tulsa, Oklahoma, for a while with his parents. He followed in his father's footsteps as a Pentecostal preacher before becoming a comedian. Recordings of his sermons reveal that he used a ""fire and brimstone"" style, punctuated with shouts similar to the ones he would later use in his stand-up routines. He attended Pinecrest Bible Training Center in Salisbury Center, New York. After he and his first wife were divorced, he abandoned preaching and took up comedy as a profession.",1953
Sandra Bernhard,Sandra Bernhard,USA,"Sandra Bernhard (born June 6, 1955) is an American comedian, singer, actress and author. She first gained attention in the late 1970s with her stand-up comedy in which she often bitterly critiques celebrity culture and political figures. Bernhard is number 97 on Comedy Central's list of the 100 greatest standups of all time. Bernhard has often addressed her childhood in interviews and within the context of her stand-up comedy. She was born in Flint, Michigan, the daughter of Jeanette and Jerome Bernhard. She has three older brothers. Her family moved to Scottsdale, Arizona, when she was 10. Of her Jewish family, Bernhard stated in her show Without You I'm Nothing: ""My father was a proctologist and my mother was an abstract artist, so that's how I view the world."" In the documentary program Girls Who Do: Comedy, she discusses being a funny teenager. After graduating from Saguaro High School in Scottsdale, Arizona, she went to live on a kibbutz in Israel. She moved to Los Angeles at the age of 19. During that time she made ends meet working as a manicurist in a high-end salon.",1955
Sarah Silverman,Sarah Kate Silverman,USA,"Sarah Kate Silverman (born December 1, 1970) is an American comedienne, writer, and actress. Her satirical comedy addresses social taboos and controversial topics such as racism, sexism, and religion by having her comic character endorse them in an ironic fashion. Silverman first gained notice as a writer and occasional performer on Saturday Night Live and starred in and produced The Sarah Silverman Program, which ran from 2007 to 2010 on Comedy Central. She has also had small parts in many movies including, School of Rock. Silverman was born in Manchester, New Hampshire, to Beth Ann and Donald Silverman. Her mother and father divorced and remarried John O'Hara (deceased) and Janice, respectively. Silverman is the youngest of four siblings: Rabbi Susan, screenwriter Jodyne, and actress Laura Silverman. She is Jewish, though was not ""raised with any religion."" After graduating from The Derryfield School in Manchester, New Hampshire, she attended New York University and continued her standup in Greenwich Village.",1970
Sean Rouse,Sean Rouse,USA,"A native of Houston, Texas, Sean Rouse is a self-described stand-up comic, arthritic cripple, general fuck-up, and all-around sweetheart. He recently played the Dave Attell Insomniac Tour.",
Shelley Berman,Sheldon Berman,USA,"Sheldon ""Shelley"" Berman (born February 3, 1926) is an American comedian, actor, writer, teacher, lecturer, and poet. Berman started as a straight actor, receiving his training at the Goodman Theater in Chicago, honing his acting skills in stock companies in and around Chicago and New York. In the mid-1950s, he became a member of Chicago's Compass Players, which later evolved into The Second City. While performing improvised sketches with Compass, Berman began developing solo pieces, often employing an imaginary telephone to take the place of an onstage partner. In 1957, Berman landed his first job as a comedian at Mister Kelly's in Chicago, which led to other nightclub bookings, and a recording contract with Verve Records. His comedy albums would earn him three gold records and he'd win the first Grammy Award for a non-musical recording. He was the first standup comedian to play Carnegie Hall. Berman would go on to appear on numerous TV specials, and all of the major variety shows of the day.",1926
Sheryl Underwood,Sheryl Underwood,USA,"Sheryl Underwood (born October 28, 1963) is an American comedian. She is a panelist on the daytime chat show The Talk on CBS. Underwood first gained public notice as the first female finalist in the Miller Lite Comedy Search in 1989. She won the BET ""Funniest Female Comedian on Comic View"" award in 1994 and the BET Comedy Awards' Platinum Mic Viewers Choice Award in 2005. Following her stand up success, Underwood took a number of minor acting roles including Bad Mouth Bessie in the 1998 film I Got the Hook Up, and Catfish Rita in the 2005 film Beauty Shop. Underwood was the host of BET's Comic View and executive producer and host of the limited run comedy/variety series Holla (September 2002 – January 2003). Underwood was a contributor on the nationally syndicated Tom Joyner Morning Show until June 2010 when she jumped ship to The Steve Harvey Morning Show to be their contributor. She briefly hosted her own radio program, ""Sheryl Underwood and Company"" for Radio One-owned Syndication One News/Talk and XM Satellite Radio's Channel 169 (The Power ). On Tuesday nights, Underwood hosts The Sheryl Underwood Show on Jamie Foxx's Sirius Satellite Radio channel, The Foxxhole (Sirius 106) In 2011, she joined the popular daytime show The Talk in its second season replacing Leah Remini.",1963
Sinbad,David Adkins,USA,"David Adkins (born November 10, 1956) better known by his stage name of Sinbad, is an American stand-up comedian and actor. He became well known in the 1990s from being featured on his own HBO specials, appearing on several television series, and starring in the films Necessary Roughness, Houseguest, First Kid, Jingle All the Way and Good Burger. Sinbad was born David Adkins in Benton Harbor, Michigan on November 19, 1956, the son of Martha and the Baptist Rev. Dr. Donald Adkins. He has five siblings, named Donna, Dorothea, Mark, Michael, and Donald. Sinbad attended Benton Harbor High School, where he was in the marching band as well as the math club. He attended college from 1974 to 1978 at the University of Denver in Denver, Colorado, where he lettered two seasons for the basketball team.",1956
Sommore,Lori Ann Rambough,USA,"Sommore (born Lori Ann Rambough; May 16, 1966) is an actress and comedienne from Trenton, New Jersey. She is the half sister of actress Nia Long. Rambough attended Morris Brown College, and currently lives in Atlanta, Georgia. Sommore has appeared on various shows including HBO's Def Comedy Jam, Showtime at the Apollo, Comic View, and BET Live from L.A. She has also done guest appearances on television sitcoms The Hughleys and The Parkers, and she has been featured on The Oprah Winfrey Show. She also appeared on Comedy Central Roast of Flavor Flav. In 2008, she appeared as one of the mob members on several episodes of the game show 1 vs. 100. Her film appearances include Soul Plane, A Miami Tail, Friday After Next, and Something New. Sommore and fellow African American female comedians Mo'Nique, Laura Hayes, and Adele Givens were the stars on the The Queens of Comedy tour, which was filmed and subsequently aired on Showtime and released on DVD. Sommore was a winning participant on the sixth season of Celebrity Fit Club. She lost 11 pounds during the show.",1966
Stephen Lynch,Stephen Andrew Lynch,USA,"Stephen Andrew Lynch (born July 28, 1971, Abington, Pennsylvania), is an American stand-up comedian, musician and Tony Award-nominated actor who is known for his songs mocking daily life and popular culture. Lynch has released two studio albums and two live albums along with a live DVD. He has appeared in two Comedy Central Presents specials and starred in the Broadway adaptation of The Wedding Singer. Stephen released a new double-disc (Studio & Live) album, Lion, on November 13, 2012. Lynch was born in Abington, Pennsylvania. His family later moved to Saginaw, Michigan. Lynch would perform in community theatre and musical theatre while attending Arthur Hill High School and The Center for Arts and Sciences. He stayed in Michigan until he graduated from Western Michigan University with a B.A. in drama in 1993. At Western Michigan University, he began to write comedic songs. Considering himself a musician first and a comedian second, Lynch cites singer/songwriters Paul Simon and Joni Mitchell as his childhood inspirations, rather than comics. He was inspired to go into show business after seeing the mockumentary This is Spinal Tap. The first song that he wrote was a country song titled ""Beefy Burrito"". After spending his first year out of college with friends in California, Lynch moved to New York City in 1996 with the intention of becoming an actor. Upon his arrival, a friend at the West Bank Cafe on 42nd Street suggested Lynch play, for an audience, some of the comic songs he had written while attending university. He soon found success in comedy clubs and other venues around the city (notably Catch a Rising Star and Caroline's), and became a regular on radio shows such as Opie and Anthony. Lynch spent his early years in New York City doing what he called ""totally mindless work"" as a temp worker. He quit such temporary jobs permanently, signing with What Are Records? in 2000 and Vision International in 2002. Over the next few years, he toured colleges, universities and nightclubs around the country, avoiding as much as possible the comedy club circuit, which he has stated is not to his taste. He periodically returned to Michigan to do summer stock. During his March 6, 2009 appearance on The Bob and Tom Show, Lynch mentioned ""Steel Toast"" as the name of the band in which he first performed. As of the start of his 3 Balloons tour in Spring 2009, Agency for the Performing Arts books all of his concert dates. As a result of the duality of his act, Lynch turned heads in the music industry as well as on the comedy circuit. He attracted extra attention usually not available to comics by playing venues more often suited to music than to comedy (eventually graduating to locations such as the House of Blues, The Town Hall and the esteemed Carnegie Hall). He gained great national exposure with his Comedy Central Presents special in 2000, one of the highest rated in the network's history. He has made appearances on Comedy Central's Premium Blend, The World Comedy Tour and The World Stands Up. He has also made four appearances on Last Call with Carson Daly, and has performed at the prestigious Just for Laughs Comedy Festival in Montreal, Canada. Lynch has opened for comedians Jay Mohr, Jeff Foxworthy, Steven Wright, Bobcat Goldthwait and Lewis Black. In the summer of 2004, he went on a tour co-headlining with Mitch Hedberg. The tour was such a success that they added an extra leg and ran into 2005. This was Hedberg's last tour before his death. He has also appeared in five short films, including The Love Seat in 1999 and The Confetti Brothers in 2001. Both films were written and directed by Kirker Butler. The Confetti Brothers, a satire, screened to packed houses at the 2001 Cannes Film Festival. It continues to play the film festival circuit. In April 2006, Lynch starred as Robbie Hart in the Broadway musical The Wedding Singer, which ran on Broadway from April 27, 2006 through December 31, 2006 at the Al Hirschfeld Theatre. This musical production was based on the 1998 New Line Cinema film The Wedding Singer starring Adam Sandler and Drew Barrymore. The musical, Lynch's Broadway debut, co-starred Tony winner Laura Benanti in the role of Julia Sullivan, played by Barrymore in the film. The April 2006 opening followed a successful preview run in Seattle at The 5th Avenue Theatre which ran from January 31 through February 19. His performance has earned him nominations for Tony, Drama League and Drama Desk awards, According to interviews after, he stated that, due to the rehearsals for the show, he had forgotten most of his own songs. In 2007, Lynch returned to the road again, touring with comedians such as Bob Saget, Frank Caliendo, Louis C.K., Carlos Mencia and others on the Opie and Anthony Traveling Virus Comedy Tour 2007. Lynch starred in his second Comedy Central Presents special in January 2008. Lynch performed on his first European tours in 2008, headlining concerts in England, Sweden, Norway, the Netherlands, Finland, Ireland, Scotland and Germany. All but two of the seventeen shows sold out, despite never playing a majority of the markets. Lynch attributes this success to YouTube. His newfound European popularity resulted in appearances at six festivals in August and September 2008. He played in the UK at the Reading and Leeds Festivals, headlining the Alternative stage at each site. He also appeared at the Lowlands Festival in Holland on August 17, Edinburgh Edge Festival (during Fringe) on August 24, The Pimm's Summerfest in Holland Park, London on August 28, and Bulmer's Comedy Festival in Dublin at the Olympia Theater on September 1 and 2. He returned to Europe in Fall, 2009 and toured the UK in March, 2010, headlining London's Brixton Academy on March 5, 2010. Lynch's second studio album, 3 Balloons, was released on March 10, 2009. On March 6, 2011, while replying to a message on Twitter, Lynch announced that he was working on a new CD. When asked if it would be studio or live, he replied ""I'm leaning studio."" Lion, a double live/studio album, was released on November 13, 2012 to solid reviews.",1971
